Host,Address,Transport,Port,Service,Component,Version
www.data.gov,2600:9000:2047:be00:8:8d7c:cc80:93a1,tcp,443,http,amazon/cloudfront,
www.data.gov,2600:9000:2047:ea00:8:8d7c:cc80:93a1,tcp,80,http,amazon/cloudfront,
www.data.gov,2600:9000:2047:ea00:8:8d7c:cc80:93a1,tcp,443,http,amazon/cloudfront,
www.login.gov,52.222.157.39,tcp,80,http,amazon/cloudfront,
www.login.gov,52.222.157.39,tcp,443,http,amazon/cloudfront,
www.login.gov,52.222.157.119,tcp,80,http,amazon/cloudfront,
www.login.gov,52.222.157.119,tcp,443,http,amazon/cloudfront,
www.login.gov,52.222.157.140,tcp,80,http,amazon/cloudfront,
www.login.gov,52.222.157.140,tcp,443,http,amazon/cloudfront,
www.login.gov,52.222.157.216,tcp,80,http,amazon/cloudfront,
www.login.gov,52.222.157.216,tcp,443,http,amazon/cloudfront,
